,Refdate,Ticker,Z_SPRD_MID,AMT_OUTSTANDING,Base
16166,2020-03-03,UV813622 Corp,12.194,1000000000,13194000000.0
16167,2020-03-04,UV813622 Corp,12.156,1000000000,13156000000.0
16168,2020-03-05,UV813622 Corp,11.458,1000000000,12458000000.0
16169,2020-03-06,UV813622 Corp,13.013,1000000000,14013000000.0
16170,2020-03-09,UV813622 Corp,13.003,1000000000,14003000000.0
16171,2020-03-10,UV813622 Corp,13.501,1000000000,14501000000.0
16419,2019-12-12,LW299809 Corp,-2575.854,1000000000,-2574854000000.0
16420,2019-12-13,LW299809 Corp,-2568.497,1000000000,-2567497000000.0
16421,2019-12-16,LW299809 Corp,-1611.194,1000000000,-1610194000000.0
16422,2019-12-17,LW299809 Corp,-1640.653,1000000000,-1639653000000.0
16423,2019-12-18,LW299809 Corp,-1194.139,1000000000,-1193139000000.0
16424,2019-12-19,LW299809 Corp,-2022.794,1000000000,-2021794000000.0
16425,2019-12-20,LW299809 Corp,-2605.011,1000000000,-2604011000000.0
16426,2019-12-23,LW299809 Corp,-2597.554,1000000000,-2596554000000.0
16430,2019-12-27,LW299809 Corp,-2568.299,1000000000,-2567299000000.0
16431,2019-12-30,LW299809 Corp,-2005.34,1000000000,-2004340000000.0
16432,2019-12-31,LW299809 Corp,-2020.488,1000000000,-2019488000000.0
16434,2020-01-02,LW299809 Corp,-2611.562,1000000000,-2610562000000.0
16435,2020-01-03,LW299809 Corp,-2607.647,1000000000,-2606647000000.0
16436,2020-01-06,LW299809 Corp,-1382.561,1000000000,-1381561000000.0
16437,2020-01-07,LW299809 Corp,-1658.023,1000000000,-1657023000000.0
16438,2020-01-08,LW299809 Corp,-1659.508,1000000000,-1658508000000.0
16439,2020-01-09,LW299809 Corp,-2612.43,1000000000,-2611430000000.0
16440,2020-01-10,LW299809 Corp,-2604.504,1000000000,-2603504000000.0
16441,2020-01-13,LW299809 Corp,-1383.094,1000000000,-1382094000000.0
16442,2020-01-14,LW299809 Corp,-1384.469,1000000000,-1383469000000.0
16443,2020-01-15,LW299809 Corp,-1385.197,1000000000,-1384197000000.0
16444,2020-01-16,LW299809 Corp,-2008.291,1000000000,-2007291000000.0
16445,2020-01-17,LW299809 Corp,-2603.346,1000000000,-2602346000000.0
16446,2020-01-20,LW299809 Corp,-1379.865,1000000000,-1378865000000.0
16447,2020-01-21,LW299809 Corp,-1382.592,1000000000,-1381592000000.0
16448,2020-01-22,LW299809 Corp,-1654.885,1000000000,-1653885000000.0
16449,2020-01-23,LW299809 Corp,-2622.721,1000000000,-2621721000000.0
16450,2020-01-24,LW299809 Corp,-2608.813,1000000000,-2607813000000.0
16451,2020-01-27,LW299809 Corp,-1648.35,1000000000,-1647350000000.0
16452,2020-01-28,LW299809 Corp,-1657.674,1000000000,-1656674000000.0
16453,2020-01-29,LW299809 Corp,-1659.918,1000000000,-1658918000000.0
16454,2020-01-30,LW299809 Corp,-2621.925,1000000000,-2620925000000.0
16455,2020-01-31,LW299809 Corp,-2613.924,1000000000,-2612924000000.0
16456,2020-02-03,LW299809 Corp,-1645.17,1000000000,-1644170000000.0
16457,2020-02-04,LW299809 Corp,-1661.703,1000000000,-1660703000000.0
16458,2020-02-05,LW299809 Corp,-1659.466,1000000000,-1658466000000.0
16459,2020-02-06,LW299809 Corp,-2612.84,1000000000,-2611840000000.0
16460,2020-02-07,LW299809 Corp,-2610.202,1000000000,-2609202000000.0
16461,2020-02-10,LW299809 Corp,-1646.733,1000000000,-1645733000000.0
16462,2020-02-11,LW299809 Corp,-1388.017,1000000000,-1387017000000.0
16463,2020-02-12,LW299809 Corp,-1655.851,1000000000,-1654851000000.0
16464,2020-02-13,LW299809 Corp,-2623.177,1000000000,-2622177000000.0
16465,2020-02-14,LW299809 Corp,-2607.601,1000000000,-2606601000000.0
16466,2020-02-17,LW299809 Corp,-1648.331,1000000000,-1647331000000.0
16467,2020-02-18,LW299809 Corp,-1656.518,1000000000,-1655518000000.0
16468,2020-02-19,LW299809 Corp,-1658.722,1000000000,-1657722000000.0
16469,2020-02-20,LW299809 Corp,-2007.401,1000000000,-2006401000000.0
16470,2020-02-21,LW299809 Corp,-2606.583,1000000000,-2605583000000.0
16471,2020-02-24,LW299809 Corp,-1649.623,1000000000,-1648623000000.0
16472,2020-02-25,LW299809 Corp,-1665.411,1000000000,-1664411000000.0
16473,2020-02-26,LW299809 Corp,-1660.972,1000000000,-1659972000000.0
16474,2020-02-27,LW299809 Corp,-2614.196,1000000000,-2613196000000.0
16475,2020-02-28,LW299809 Corp,-2615.49,1000000000,-2614490000000.0
16476,2020-03-02,LW299809 Corp,-1655.487,1000000000,-1654487000000.0
16477,2020-03-03,LW299809 Corp,-1674.581,1000000000,-1673581000000.0
16478,2020-03-04,LW299809 Corp,-1675.473,1000000000,-1674473000000.0
16479,2020-03-05,LW299809 Corp,-2602.756,1000000000,-2601756000000.0
16480,2020-03-06,LW299809 Corp,-2583.38,1000000000,-2582380000000.0
16481,2020-03-09,LW299809 Corp,-1661.757,1000000000,-1660757000000.0
16482,2020-03-10,LW299809 Corp,-1650.536,1000000000,-1649536000000.0
16731,2019-12-13,AO348832 Corp,-1874.432,1000000000,-1873432000000.0
16732,2019-12-16,AO348832 Corp,-1153.199,1000000000,-1152199000000.0
16733,2019-12-17,AO348832 Corp,-1179.309,1000000000,-1178309000000.0
16734,2019-12-18,AO348832 Corp,-852.469,1000000000,-851469000000.0
16735,2019-12-19,AO348832 Corp,-1463.611,1000000000,-1462611000000.0
16736,2019-12-20,AO348832 Corp,-1910.011,1000000000,-1909011000000.0
16737,2019-12-23,AO348832 Corp,-1909.636,1000000000,-1908636000000.0
16738,2019-12-24,AO348832 Corp,-4724.749,1000000000,-4723749000000.0
16741,2019-12-27,AO348832 Corp,-1901.038,1000000000,-1900038000000.0
16742,2019-12-30,AO348832 Corp,-1465.458,1000000000,-1464458000000.0
16743,2019-12-31,AO348832 Corp,-1466.186,1000000000,-1465186000000.0
16745,2020-01-02,AO348832 Corp,-1919.487,1000000000,-1918487000000.0
16746,2020-01-03,AO348832 Corp,-1918.109,1000000000,-1917109000000.0
16747,2020-01-06,AO348832 Corp,-996.907,1000000000,-995907000000.0
16748,2020-01-07,AO348832 Corp,-1196.101,1000000000,-1195101000000.0
16749,2020-01-08,AO348832 Corp,-1197.08,1000000000,-1196080000000.0
16750,2020-01-09,AO348832 Corp,-1925.566,1000000000,-1924566000000.0
16751,2020-01-10,AO348832 Corp,-1920.534,1000000000,-1919534000000.0
