,Refdate,INDUSTRY_SECTOR,Index_Value,Country
252,2020-02-14,Financial,204.66049999999998,Italy
253,2020-02-14,Industrial,87.59299999999999,Italy
254,2020-02-14,Technology,28.95,Italy
255,2020-02-14,Utilities,27.667,Italy
256,2020-02-17,Communications,0.5201,Italy
257,2020-02-17,"Consumer, Cyclical",247.239,Italy
258,2020-02-17,"Consumer, Non-cyclical",219.35,Italy
259,2020-02-17,Energy,16.835,Italy
260,2020-02-17,Financial,206.90800000000002,Italy
261,2020-02-17,Industrial,88.008,Italy
262,2020-02-17,Technology,28.18,Italy
263,2020-02-17,Utilities,27.979999999999993,Italy
264,2020-02-18,Communications,0.5194,Italy
265,2020-02-18,"Consumer, Cyclical",247.77199999999996,Italy
266,2020-02-18,"Consumer, Non-cyclical",223.73500000000004,Italy
267,2020-02-18,Energy,16.661,Italy
268,2020-02-18,Financial,206.536,Italy
269,2020-02-18,Industrial,87.41399999999999,Italy
270,2020-02-18,Technology,27.84,Italy
271,2020-02-18,Utilities,28.258000000000003,Italy
272,2020-02-19,Communications,0.5219,Italy
273,2020-02-19,"Consumer, Cyclical",251.847,Italy
274,2020-02-19,"Consumer, Non-cyclical",224.76999999999998,Italy
275,2020-02-19,Energy,16.728,Italy
276,2020-02-19,Financial,208.05550000000002,Italy
277,2020-02-19,Industrial,88.625,Italy
278,2020-02-19,Technology,29.12,Italy
279,2020-02-19,Utilities,28.642000000000003,Italy
280,2020-02-20,Communications,0.5147,Italy
281,2020-02-20,"Consumer, Cyclical",247.50400000000002,Italy
282,2020-02-20,"Consumer, Non-cyclical",218.70999999999998,Italy
283,2020-02-20,Energy,16.732,Italy
284,2020-02-20,Financial,203.826,Italy
285,2020-02-20,Industrial,87.589,Italy
286,2020-02-20,Technology,28.7,Italy
287,2020-02-20,Utilities,28.141,Italy
288,2020-02-21,Communications,0.5342,Italy
289,2020-02-21,"Consumer, Cyclical",241.25400000000005,Italy
290,2020-02-21,"Consumer, Non-cyclical",216.79,Italy
291,2020-02-21,Energy,16.519,Italy
292,2020-02-21,Financial,198.93550000000002,Italy
293,2020-02-21,Industrial,85.585,Italy
294,2020-02-21,Technology,28.29,Italy
295,2020-02-21,Utilities,28.092499999999998,Italy
296,2020-02-24,Communications,0.513,Italy
297,2020-02-24,"Consumer, Cyclical",227.375,Italy
298,2020-02-24,"Consumer, Non-cyclical",205.48000000000002,Italy
299,2020-02-24,Energy,15.635,Italy
300,2020-02-24,Financial,186.56449999999998,Italy
301,2020-02-24,Industrial,80.381,Italy
302,2020-02-24,Technology,26.29,Italy
303,2020-02-24,Utilities,26.7975,Italy
304,2020-02-25,Communications,0.5104000000000001,Italy
305,2020-02-25,"Consumer, Cyclical",226.86649999999995,Italy
306,2020-02-25,"Consumer, Non-cyclical",199.92000000000002,Italy
307,2020-02-25,Energy,15.402999999999999,Italy
308,2020-02-25,Financial,184.44400000000005,Italy
309,2020-02-25,Industrial,78.93900000000001,Italy
310,2020-02-25,Technology,26.09,Italy
311,2020-02-25,Utilities,26.314,Italy
312,2020-02-26,Communications,0.5283,Italy
313,2020-02-26,"Consumer, Cyclical",227.52349999999998,Italy
314,2020-02-26,"Consumer, Non-cyclical",202.475,Italy
315,2020-02-26,Energy,15.66,Italy
316,2020-02-26,Financial,186.86399999999998,Italy
317,2020-02-26,Industrial,80.23,Italy
318,2020-02-26,Technology,26.69,Italy
319,2020-02-26,Utilities,26.651,Italy
320,2020-02-27,Communications,0.527,Italy
321,2020-02-27,"Consumer, Cyclical",220.18519999999998,Italy
322,2020-02-27,"Consumer, Non-cyclical",199.25,Italy
323,2020-02-27,Energy,15.222999999999999,Italy
324,2020-02-27,Financial,179.9895,Italy
325,2020-02-27,Industrial,77.81599999999999,Italy
326,2020-02-27,Technology,24.86,Italy
327,2020-02-27,Utilities,26.418,Italy
328,2020-02-28,Communications,0.5001,Italy
329,2020-02-28,"Consumer, Cyclical",216.575,Italy
330,2020-02-28,"Consumer, Non-cyclical",193.865,Italy
331,2020-02-28,Energy,14.573,Italy
332,2020-02-28,Financial,174.84400000000002,Italy
333,2020-02-28,Industrial,76.51499999999999,Italy
334,2020-02-28,Technology,24.380000000000003,Italy
335,2020-02-28,Utilities,25.143500000000003,Italy
336,2020-03-02,Communications,0.4864,Italy
337,2020-03-02,"Consumer, Cyclical",213.7518,Italy
338,2020-03-02,"Consumer, Non-cyclical",191.945,Italy
339,2020-03-02,Energy,14.426,Italy
340,2020-03-02,Financial,169.8755,Italy
341,2020-03-02,Industrial,73.567,Italy
342,2020-03-02,Technology,24.31,Italy
343,2020-03-02,Utilities,25.328500000000002,Italy
344,2020-03-03,Communications,0.4779000000000001,Italy
345,2020-03-03,"Consumer, Cyclical",216.08980000000003,Italy
346,2020-03-03,"Consumer, Non-cyclical",196.555,Italy
347,2020-03-03,Energy,14.379999999999999,Italy
348,2020-03-03,Financial,169.948,Italy
349,2020-03-03,Industrial,74.773,Italy
350,2020-03-03,Technology,24.98,Italy
351,2020-03-03,Utilities,25.7425,Italy
352,2020-03-04,Communications,0.48090000000000005,Italy
353,2020-03-04,"Consumer, Cyclical",215.03859999999995,Italy
354,2020-03-04,"Consumer, Non-cyclical",195.375,Italy
355,2020-03-04,Energy,14.328999999999999,Italy
356,2020-03-04,Financial,168.1645,Italy
357,2020-03-04,Industrial,73.806,Italy
358,2020-03-04,Technology,24.71,Italy
359,2020-03-04,Utilities,26.883,Italy
360,2020-03-05,Communications,0.45840000000000003,Italy
361,2020-03-05,"Consumer, Cyclical",210.89400000000003,Italy
362,2020-03-05,"Consumer, Non-cyclical",193.925,Italy
363,2020-03-05,Energy,13.982,Italy
364,2020-03-05,Financial,165.3355,Italy
365,2020-03-05,Industrial,72.721,Italy
366,2020-03-05,Technology,24.43,Italy
367,2020-03-05,Utilities,26.6765,Italy
368,2020-03-06,Communications,0.43210000000000004,Italy
369,2020-03-06,"Consumer, Cyclical",204.8188,Italy
370,2020-03-06,"Consumer, Non-cyclical",191.91,Italy
371,2020-03-06,Energy,13.067000000000002,Italy
372,2020-03-06,Financial,160.4982,Italy
373,2020-03-06,Industrial,70.04,Italy
374,2020-03-06,Technology,23.29,Italy
375,2020-03-06,Utilities,25.5055,Italy
376,2020-03-09,Communications,0.3907,Italy
377,2020-03-09,"Consumer, Cyclical",188.40279999999998,Italy
378,2020-03-09,"Consumer, Non-cyclical",182.42499999999998,Italy
379,2020-03-09,Energy,10.324,Italy
380,2020-03-09,Financial,145.04450000000003,Italy
381,2020-03-09,Industrial,61.58099999999999,Italy
382,2020-03-09,Technology,20.93,Italy
383,2020-03-09,Utilities,23.2045,Italy
384,2020-03-10,Communications,0.3672,Italy
385,2020-03-10,"Consumer, Cyclical",188.14980000000003,Italy
386,2020-03-10,"Consumer, Non-cyclical",180.46,Italy
387,2020-03-10,Energy,10.389,Italy
388,2020-03-10,Financial,138.32129999999998,Italy
389,2020-03-10,Industrial,60.126,Italy
390,2020-03-10,Technology,21.1,Italy
391,2020-03-10,Utilities,22.0565,Italy
392,2020-03-11,Communications,0.3817000000000001,Italy
393,2020-03-11,"Consumer, Cyclical",191.33939999999998,Italy
394,2020-03-11,"Consumer, Non-cyclical",187.63,Italy
395,2020-03-11,Energy,10.245000000000001,Italy
396,2020-03-11,Financial,138.83020000000005,Italy
397,2020-03-11,Industrial,59.824999999999996,Italy
398,2020-03-11,Technology,20.68,Italy
399,2020-03-11,Utilities,22.003,Italy
400,2020-03-12,Communications,0.31120000000000003,Italy
401,2020-03-12,"Consumer, Cyclical",169.965,Italy
402,2020-03-12,"Consumer, Non-cyclical",163.95999999999998,Italy
403,2020-03-12,Energy,8.5425,Italy
404,2020-03-12,Financial,119.6073,Italy
405,2020-03-12,Industrial,50.171,Italy
406,2020-03-12,Technology,17.38,Italy
407,2020-03-12,Utilities,18.2365,Italy
